Original English,Punjabi Translation,Page Source,Extracted Date,Translated Date
"I'm worried about something.","ਮੈਂ ਕਿਸੇ ਚੀਜ਼ ਬਾਰੇ ਚਿੰਤਤ ਹਾਂ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"In the future","ਭਵਿੱਖ ਵਿੱਚ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"In the past","ਅਤੀਤ ਵਿੱਚ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"It's a person","ਇਹ ਇੱਕ ਵਿਅਕਤੀ ਹੈ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"It's a person.","ਇਹ ਇੱਕ ਵਿਅਕਤੀ ਹੈ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"It's a place","ਇਹ ਇੱਕ ਜਗ੍ਹਾ ਹੈ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"It's a place.","ਇਹ ਇੱਕ ਜਗ੍ਹਾ ਹੈ.","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"It's an event","ਇਹ ਇੱਕ ਘਟਨਾ ਹੈ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"It's an event.","ਇਹ ਇੱਕ ਘਟਨਾ ਹੈ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"It's bad","ਇਹ ਬੁਰਾ ਹੈ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"It's bad.","ਇਹ ਬੁਰਾ ਹੈ.","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"It's good","ਇਹ ਠੀਕ ਹੈ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"It's good.","ਇਹ ਠੀਕ ਹੈ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"It's in the future.","ਇਹ ਭਵਿੱਖ ਵਿੱਚ ਹੈ.","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"It's in the past.","ਇਹ ਅਤੀਤ ਵਿੱਚ ਹੈ.","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"My Aphasia","ਮੇਰਾ ਅਫਾਸੀਆ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Not what I'm saying","ਉਹ ਨਹੀਂ ਜੋ ਮੈਂ ਕਹਿ ਰਿਹਾ ਹਾਂ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Personal Needs","ਨਿੱਜੀ ਲੋੜਾਂ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Repeat that","ਇਸ ਨੂੰ ਦੁਹਰਾਓ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Repeat that.","ਇਸ ਨੂੰ ਦੁਹਰਾਓ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Something happened","ਕੁਝ ਵਾਪਰਿਆ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Something happened.","ਕੁਝ ਵਾਪਰਿਆ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Tell you a story","ਤੁਹਾਨੂੰ ਇੱਕ ਕਹਾਣੀ ਦੱਸੋ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"That's not what I'm saying.","ਇਹ ਉਹ ਨਹੀਂ ਹੈ ਜੋ ਮੈਂ ਕਹਿ ਰਿਹਾ ਹਾਂ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"What I want  isn't here","ਜੋ ਮੈਂ ਚਾਹੁੰਦਾ ਹਾਂ ਉਹ ਇੱਥੇ ਨਹੀਂ ਹੈ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"What I want to say isn't here.","ਜੋ ਮੈਂ ਕਹਿਣਾ ਚਾਹੁੰਦਾ ਹਾਂ ਉਹ ਇੱਥੇ ਨਹੀਂ ਹੈ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Worried about something","ਕਿਸੇ ਚੀਜ਼ ਬਾਰੇ ਚਿੰਤਤ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
